,breed,size,group,coat_type,barking_level,trainability,shedding,activity_level
119,German-wirehaired-pointer,medium,sporting,short,medium,eager-to-please,regularly,needs-lots-of-activity
120,Giant-schnauzer,large,working,medium,medium,easy-training,seasonal,needs-lots-of-activity
121,Glen-of-imaal-terrier,small,terrier,medium,infrequent,independent,occasional,regular-exercise
122,Golden-retriever,large,sporting,medium,when-necessary,eager-to-please,seasonal,needs-lots-of-activity
123,Gordon-setter,large,sporting,medium,frequent,independent,seasonal,needs-lots-of-activity
124,Grand-basset-griffon-vendeen,medium,hound,medium,frequent,independent,seasonal,needs-lots-of-activity
125,Great-dane,xlarge,working,smooth,medium,agreeable,seasonal,energetic
126,Great-pyrenees,xlarge,working,medium,frequent,independent,seasonal,needs-lots-of-activity
127,Greater-swiss-mountain-dog,xlarge,working,short,medium,agreeable,seasonal,energetic
128,Greyhound,large,hound,smooth,medium,independent,occasional,energetic
129,Hamiltonstovare,medium,foundation-stock-service,short,medium,may-be-stubborn,infrequent,energetic
130,Hanoverian-scenthound,large,foundation-stock-service,short,unknown,independent,infrequent,regular-exercise
131,Harrier,medium,hound,short,frequent,easy-training,occasional,needs-lots-of-activity
132,Havanese,small,toy,long,medium,easy-training,occasional,regular-exercise
133,Hokkaido,medium,foundation-stock-service,medium,likes-to-be-vocal,independent,seasonal,energetic
134,Hovawart,large,foundation-stock-service,medium,when-necessary,may-be-stubborn,seasonal,regular-exercise
135,Ibizan-hound,large,hound,smooth,medium,independent,occasional,needs-lots-of-activity
136,Icelandic-sheepdog,medium,herding,medium,frequent,eager-to-please,seasonal,energetic
137,Irish-red-and-white-setter,large,sporting,medium,medium,easy-training,occasional,needs-lots-of-activity
138,Irish-setter,large,sporting,medium,medium,agreeable,seasonal,needs-lots-of-activity
139,Irish-terrier,medium,terrier,medium,medium,agreeable,occasional,regular-exercise
140,Irish-water-spaniel,large,sporting,long,when-necessary,easy-training,seasonal,needs-lots-of-activity
141,Irish-wolfhound,xlarge,hound,medium,when-necessary,independent,seasonal,regular-exercise
142,Italian-greyhound,small,toy,smooth,when-necessary,independent,occasional,regular-exercise
143,Jagdterrier,small,foundation-stock-service,medium,when-necessary,agreeable,seasonal,regular-exercise
144,Japanese-akitainu,medium,foundation-stock-service,medium,when-necessary,independent,seasonal,regular-exercise
145,Japanese-chin,xsmall,toy,medium,infrequent,independent,seasonal,regular-exercise
146,Japanese-spitz,medium,foundation-stock-service,long,medium,easy-training,occasional,regular-exercise
147,Japanese-terrier,small,foundation-stock-service,short,infrequent,independent,regularly,regular-exercise
148,Jindo,medium,foundation-stock-service,short,when-necessary,independent,seasonal,energetic
149,Kai-ken,medium,foundation-stock-service,medium,when-necessary,independent,seasonal,energetic
150,Karelian-bear-dog,medium,foundation-stock-service,short,when-necessary,independent,seasonal,calm
151,Keeshond,medium,non-sporting,long,medium,easy-training,seasonal,regular-exercise
152,Kerry-blue-terrier,medium,terrier,long,medium,independent,infrequent,regular-exercise
153,Kishu-ken,medium,foundation-stock-service,medium,unknown,independent,seasonal,energetic
154,Komondor,large,working,long,medium,independent,seasonal,regular-exercise
155,Kromfohrlander,medium,foundation-stock-service,medium,medium,agreeable,regularly,regular-exercise
156,Kuvasz,large,working,medium,medium,independent,regularly,regular-exercise
157,Labrador-retriever,large,sporting,short,medium,eager-to-please,regularly,needs-lots-of-activity
158,Lagotto-romagnolo,medium,sporting,short,infrequent,eager-to-please,infrequent,regular-exercise
159,Lakeland-terrier,small,terrier,medium,medium,agreeable,infrequent,regular-exercise
160,Lancashire-heeler,small,miscellaneous-class,short,medium,eager-to-please,seasonal,energetic
161,Lapponian-herder,medium,foundation-stock-service,medium,medium,eager-to-please,seasonal,regular-exercise
162,Leonberger,xlarge,working,medium,medium,eager-to-please,regularly,regular-exercise
163,Lhasa-apso,small,non-sporting,long,medium,independent,infrequent,regular-exercise
164,Lowchen,small,non-sporting,long,medium,agreeable,infrequent,regular-exercise
165,Maltese,xsmall,toy,long,medium,agreeable,infrequent,regular-exercise
166,Manchester-terrier-standard,small,terrier,smooth,medium,easy-training,occasional,regular-exercise
167,Manchester-terrier-toy,xsmall,toy,smooth,medium,easy-training,occasional,regular-exercise
168,Mastiff,xlarge,working,short,when-necessary,agreeable,occasional,regular-exercise
169,Miniature-american-shepherd,medium,herding,medium,infrequent,eager-to-please,frequent,energetic
170,Miniature-bull-terrier,small,terrier,smooth,likes-to-be-vocal,independent,occasional,energetic
171,Miniature-pinscher,xsmall,toy,smooth,likes-to-be-vocal,independent,occasional,regular-exercise
172,Miniature-schnauzer,small,terrier,medium,likes-to-be-vocal,eager-to-please,infrequent,regular-exercise
173,Mountain-cur,medium,foundation-stock-service,smooth,unknown,may-be-stubborn,seasonal,needs-lots-of-activity
